unit,sizen_r2,indic_is,geo\time	2016 	2015 	2014 
PC_ENT,10_C10_18,E_CC_BS,MK	: 	: 	1 
PC_ENT,10_C10_18,E_CC_BS,MT	: 	: 	0 
PC_ENT,10_C10_18,E_CC_BS,NL	: 	: 	3 
PC_ENT,10_C10_18,E_CC_BS,NO	: 	3 	3 
PC_ENT,10_C10_18,E_CC_BS,PL	: 	1 	1 
PC_ENT,10_C10_18,E_CC_BS,PT	: 	: 	1 
PC_ENT,10_C10_18,E_CC_BS,RO	: 	0 n	0 n
PC_ENT,10_C10_18,E_CC_BS,RS	: 	: 	0 n
PC_ENT,10_C10_18,E_CC_BS,SE	: 	: 	4 
PC_ENT,10_C10_18,E_CC_BS,SI	: 	2 	0 
PC_ENT,10_C10_18,E_CC_BS,SK	: 	1 	2 
PC_ENT,10_C10_18,E_CC_BS,UK	: 	: 	3 
PC_ENT,10_C10_18,E_CC_DS,AT	3 	: 	5 
PC_ENT,10_C10_18,E_CC_DS,BE	13 	11 	4 
PC_ENT,10_C10_18,E_CC_DS,BG	2 	1 	3 
PC_ENT,10_C10_18,E_CC_DS,CY	2 	2 	2 
PC_ENT,10_C10_18,E_CC_DS,CZ	7 	: 	5 
PC_ENT,10_C10_18,E_CC_DS,DE	: u	: 	: u
PC_ENT,10_C10_18,E_CC_DS,DK	16 	14 	11 
PC_ENT,10_C10_18,E_CC_DS,EA	6 	: 	6 
PC_ENT,10_C10_18,E_CC_DS,EE	7 	: 	4 
PC_ENT,10_C10_18,E_CC_DS,EL	3 	3 	: u
PC_ENT,10_C10_18,E_CC_DS,ES	8 	7 	4 
PC_ENT,10_C10_18,E_CC_DS,EU15	6 	: 	6 
PC_ENT,10_C10_18,E_CC_DS,EU27	5 	: 	5 
PC_ENT,10_C10_18,E_CC_DS,EU28	6 	: 	5 
PC_ENT,10_C10_18,E_CC_DS,FI	17 	12 	13 
PC_ENT,10_C10_18,E_CC_DS,FR	6 	: 	4 
PC_ENT,10_C10_18,E_CC_DS,HR	13 	8 	8 
PC_ENT,10_C10_18,E_CC_DS,HU	4 	3 	2 
PC_ENT,10_C10_18,E_CC_DS,IE	: u	: 	5 
PC_ENT,10_C10_18,E_CC_DS,IS	: 	: 	15 
PC_ENT,10_C10_18,E_CC_DS,IT	5 b	: 	11 
PC_ENT,10_C10_18,E_CC_DS,LT	5 	: 	5 
PC_ENT,10_C10_18,E_CC_DS,LU	15 	: 	5 
PC_ENT,10_C10_18,E_CC_DS,LV	3 	3 	2 
PC_ENT,10_C10_18,E_CC_DS,MK	1 	: 	3 
PC_ENT,10_C10_18,E_CC_DS,MT	6 	: 	3 
PC_ENT,10_C10_18,E_CC_DS,NL	12 	: 	7 
PC_ENT,10_C10_18,E_CC_DS,NO	12 	9 	7 
PC_ENT,10_C10_18,E_CC_DS,PL	2 	2 	1 
PC_ENT,10_C10_18,E_CC_DS,PT	3 	: 	2 
PC_ENT,10_C10_18,E_CC_DS,RO	1 	0 n	1 
PC_ENT,10_C10_18,E_CC_DS,RS	: 	: 	0 n
PC_ENT,10_C10_18,E_CC_DS,SE	15 	: 	9 
PC_ENT,10_C10_18,E_CC_DS,SI	5 	4 	1 
PC_ENT,10_C10_18,E_CC_DS,SK	5 	4 	4 
PC_ENT,10_C10_18,E_CC_DS,UK	11 	: 	6 
PC_ENT,10_C10_18,E_CC_HI,AT	3 	: 	5 
PC_ENT,10_C10_18,E_CC_HI,BE	17 	12 	5 
PC_ENT,10_C10_18,E_CC_HI,BG	1 	2 	3 
PC_ENT,10_C10_18,E_CC_HI,CY	1 	3 	1 
PC_ENT,10_C10_18,E_CC_HI,CZ	9 	: 	5 
PC_ENT,10_C10_18,E_CC_HI,DE	: u	: 	: u
PC_ENT,10_C10_18,E_CC_HI,DK	22 	19 	19 
PC_ENT,10_C10_18,E_CC_HI,EA	6 	: 	7 
PC_ENT,10_C10_18,E_CC_HI,EE	15 	: 	6 
PC_ENT,10_C10_18,E_CC_HI,EL	3 	3 	: u
